5, 2.5, 5
7, 3.5, 10
9, 4.5, 18
11, 5.5, 27
13, 6.5, 39
15, 7.5, 52
17, 8.5, 68
19, 9.5, 85
21, 10.5, 105
23, 11.5, 126
25, 12.5, 150
27, 13.5, 175
29, 14.5, 203
31, 15.5, 232
33, 16.5, 264
35, 17.5, 297
37, 18.5, 333
39, 19.5, 370
41, 20.5, 410
43, 21.5, 451
45, 22.5, 495
